position,company,low_wage,high_wage,mid_wage
Frontend Dev ,Randstad,12000.0,24000.0,18000.0
React Dev,StoryDoc,16000.0,20000.0,18000.0
Android Dev,Affirm,13000.0,16000.0,14500.0
Mł Programista Java,Altko,4200.0,6000.0,5100.0
Manual Tester,PROMO.COM,5000.0,8000.0,6500.0
Jr .NET ERP Dev,INLOGICA,5000.0,9000.0,7000.0
Jr Dynamics 365 Dev,INLOGICA,5000.0,9000.0,7000.0
Jr .NET Dev,C.H.Robinson,6500.0,9500.0,8000.0
JrCustomerSupportEng,SmartBear,6000.0,7500.0,6750.0
PHP Dev,Satisfly,10000.0,18000.0,14000.0
Junior Java Dev,Summer Agency,6000.0,10000.0,8000.0
JrCustSupEng,SmartBear,6000.0,7500.0,6750.0
Junior PHP Dev ,Droptica,5000.0,8500.0,6750.0
Junior Java Dev,IFIRMA,4500.0,7000.0,5750.0
AWS Devops Eng,Sofomo,7000.0,9000.0,8000.0
Mł. Programista SQL,Sente,7000.0,8200.0,7600.0
SoftwareEng.,Ocado Technology,8000.0,8000.0,8000.0
Junior IT Administrator,ANEGIS,6000.0,6000.0,6000.0
Junior Tester,YND,4500.0,6500.0,5500.0
Junior Java Dev,Sollers,7000.0,11000.0,9000.0
Software Engineer,Tivix Europe,14000.0,16000.0,15000.0
Praktyki letnie IT,Sente,2500.0,2500.0,2500.0
Junior PHP Dev,PGS Software,6700.0,10100.0,8400.0
Junior JS ServiceNow Dev,SPOC,4500.0,5000.0,4750.0
GamingTech,PragmaticPlay,4176.0,4640.0,4408.0
Progr. Ap. Internet,Sente,7000.0,8200.0,7600.0
Client Engagement Manager,Anixe,7000.0,10000.0,8500.0
Jr Data Eng,TEAM International,9000.0,12000.0,10500.0
Jr. Frontend Dev ,Gamefound,10000.0,15000.0,12500.0
Jr HelpDesk,TEAM International,6000.0,9200.0,7600.0
Support Engineer,proALPHA Group,5000.0,10000.0,7500.0
TestSoftw.Eng.,OcadoTechnology,8000.0,8000.0,8000.0
Internship IT,GridDynamics,3500.0,3500.0,3500.0
